Unnamed: 0,Word,Song,Word Length,Number of Vowels,Frequency,Pronoun,Overall Frequency,Song Frequency
275,all,Personal Lies,3,1,21,False,21,19
276,care,Personal Lies,4,2,18,False,18,17
277,not,Personal Lies,3,1,19,False,19,19
278,at,Personal Lies,2,1,21,False,21,19
279,all,Personal Lies,3,1,21,False,21,19
280,you,Personal Lies,3,2,52,True,52,19
281,know,Personal Lies,4,1,10,False,10,7
282,i,Personal Lies,1,1,67,True,67,22
283,really,Personal Lies,6,2,6,False,6,4
284,don't,Personal Lies,5,1,12,False,12,5
285,care,Personal Lies,4,2,18,False,18,17
286,do,Personal Lies,2,1,15,False,15,13
287,you,Personal Lies,3,2,52,True,52,19
288,care,Personal Lies,4,2,18,False,18,17
289,not,Personal Lies,3,1,19,False,19,19
290,at,Personal Lies,2,1,21,False,21,19
291,all,Personal Lies,3,1,21,False,21,19
292,i,Personal Lies,1,1,67,True,67,22
293,got,Personal Lies,3,1,7,False,7,6
294,the,Personal Lies,3,1,31,False,31,5
295,feeling,Personal Lies,7,3,1,False,1,1
296,right,Personal Lies,5,1,5,False,5,5
297,here,Personal Lies,4,2,3,False,3,3
298,no,Personal Lies,2,1,8,False,8,5
299,not,Personal Lies,3,1,19,False,19,19
300,at,Personal Lies,2,1,21,False,21,19
301,all,Personal Lies,3,1,21,False,21,19
302,do,Personal Lies,2,1,15,False,15,13
303,you,Personal Lies,3,2,52,True,52,19
304,care,Personal Lies,4,2,18,False,18,17
305,you,Personal Lies,3,2,52,True,52,19
306,know,Personal Lies,4,1,10,False,10,7
307,i,Personal Lies,1,1,67,True,67,22
308,really,Personal Lies,6,2,6,False,6,4
309,don't,Personal Lies,5,1,12,False,12,5
310,care,Personal Lies,4,2,18,False,18,17
311,not,Personal Lies,3,1,19,False,19,19
312,at,Personal Lies,2,1,21,False,21,19
313,all,Personal Lies,3,1,21,False,21,19
314,you,Personal Lies,3,2,52,True,52,19
315,know,Personal Lies,4,1,10,False,10,7
316,i,Personal Lies,1,1,67,True,67,22
317,really,Personal Lies,6,2,6,False,6,4
318,don't,Personal Lies,5,1,12,False,12,5
319,care,Personal Lies,4,2,18,False,18,17
320,not,Personal Lies,3,1,19,False,19,19
321,at,Personal Lies,2,1,21,False,21,19
322,all,Personal Lies,3,1,21,False,21,19
323,do,Personal Lies,2,1,15,False,15,13
324,you,Personal Lies,3,2,52,True,52,19
325,care,Personal Lies,4,2,18,False,18,17
326,not,Personal Lies,3,1,19,False,19,19
327,at,Personal Lies,2,1,21,False,21,19
328,all,Personal Lies,3,1,21,False,21,19
329,i,Personal Lies,1,1,67,True,67,22
330,got,Personal Lies,3,1,7,False,7,6
331,those,Personal Lies,5,2,1,False,1,1
332,feelings,Personal Lies,8,3,2,False,2,2
333,right,Personal Lies,5,1,5,False,5,5
334,here,Personal Lies,4,2,3,False,3,3
335,no,Personal Lies,2,1,8,False,8,5
336,not,Personal Lies,3,1,19,False,19,19
337,at,Personal Lies,2,1,21,False,21,19
338,all,Personal Lies,3,1,21,False,21,19
339,the,Personal Lies,3,1,31,False,31,5
340,safe,Personal Lies,4,2,1,False,1,1
341,way,Personal Lies,3,1,3,False,3,2
342,we,Personal Lies,2,1,3,True,3,1
343,appear,Personal Lies,6,3,1,False,1,1
344,do,Personal Lies,2,1,15,False,15,13
345,you,Personal Lies,3,2,52,True,52,19
346,care,Personal Lies,4,2,18,False,18,17
347,not,Personal Lies,3,1,19,False,19,19
348,at,Personal Lies,2,1,21,False,21,19
349,all,Personal Lies,3,1,21,False,21,19
350,oh,Personal Lies,2,1,11,False,11,1
351,baby,Personal Lies,4,1,2,False,2,2
352,now,Personal Lies,3,1,10,False,10,7
353,that's,Personal Lies,6,1,4,False,4,1
354,alright,Personal Lies,7,2,1,False,1,1
355,not,Personal Lies,3,1,19,False,19,19
356,at,Personal Lies,2,1,21,False,21,19
357,all,Personal Lies,3,1,21,False,21,19
358,you,Personal Lies,3,2,52,True,52,19
359,know,Personal Lies,4,1,10,False,10,7
360,i,Personal Lies,1,1,67,True,67,22
361,really,Personal Lies,6,2,6,False,6,4
362,don't,Personal Lies,5,1,12,False,12,5
363,care,Personal Lies,4,2,18,False,18,17
364,do,Personal Lies,2,1,15,False,15,13
365,you,Personal Lies,3,2,52,True,52,19
366,care,Personal Lies,4,2,18,False,18,17
367,not,Personal Lies,3,1,19,False,19,19
368,at,Personal Lies,2,1,21,False,21,19
369,all,Personal Lies,3,1,21,False,21,19
370,i,Personal Lies,1,1,67,True,67,22
371,got,Personal Lies,3,1,7,False,7,6
372,the,Personal Lies,3,1,31,False,31,5
373,feelings,Personal Lies,8,3,2,False,2,2
374,right,Personal Lies,5,1,5,False,5,5
375,here,Personal Lies,4,2,3,False,3,3
376,no,Personal Lies,2,1,8,False,8,5
377,not,Personal Lies,3,1,19,False,19,19
378,at,Personal Lies,2,1,21,False,21,19
379,all,Personal Lies,3,1,21,False,21,19
380,do,Personal Lies,2,1,15,False,15,13
381,you,Personal Lies,3,2,52,True,52,19
382,care,Personal Lies,4,2,18,False,18,17
383,i,Half Life,1,1,67,True,67,22
384,fight,Half Life,5,1,1,False,1,1
385,the,Half Life,3,1,31,False,31,7
386,urge,Half Life,4,2,1,False,1,1
387,to,Half Life,2,1,24,False,24,3
388,search,Half Life,6,2,1,False,1,1
389,my,Half Life,2,0,33,True,33,2
390,name,Half Life,4,2,1,False,1,1
391,there's,Half Life,7,2,4,False,4,1
392,a,Half Life,1,1,21,False,21,5
393,better,Half Life,6,2,1,False,1,1
394,me,Half Life,2,1,21,True,21,7
395,i,Half Life,1,1,67,True,67,22
396,swear,Half Life,5,2,1,False,1,1
397,but,Half Life,3,1,3,False,3,1
398,curiosity,Half Life,9,4,1,False,1,1
399,i,Half Life,1,1,67,True,67,22
400,see,Half Life,3,2,5,False,5,5
401,i,Half Life,1,1,67,True,67,22
402,let,Half Life,3,1,3,False,3,2
403,my,Half Life,2,0,33,True,33,2
404,ego,Half Life,3,2,1,False,1,1
405,get,Half Life,3,1,3,False,3,1
406,the,Half Life,3,1,31,False,31,7
407,best,Half Life,4,1,2,False,2,2
408,of,Half Life,2,1,13,False,13,3
409,me,Half Life,2,1,21,True,21,7
410,in,Half Life,2,1,17,False,17,5
411,the,Half Life,3,1,31,False,31,7
412,age,Half Life,3,2,1,False,1,1
413,of,Half Life,2,1,13,False,13,3
414,excess,Half Life,6,2,1,False,1,1
415,less,Half Life,4,1,1,False,1,1
416,may,Half Life,3,1,1,False,1,1
417,be,Half Life,2,1,6,False,6,2
418,best,Half Life,4,1,2,False,2,2
419,for,Half Life,3,1,11,False,11,3
420,me,Half Life,2,1,21,True,21,7
421,god,Half Life,3,1,7,False,7,2
422,it,Half Life,2,1,21,False,21,6
423,makes,Half Life,5,2,1,False,1,1
424,me,Half Life,2,1,21,True,21,7
425,sad,Half Life,3,1,1,False,1,1
426,we're,Half Life,5,2,2,True,2,1
427,the,Half Life,3,1,31,False,31,7
428,last,Half Life,4,1,2,False,2,1
429,to,Half Life,2,1,24,False,24,3
430,know,Half Life,4,1,10,False,10,2
431,the,Half Life,3,1,31,False,31,7
432,world,Half Life,5,1,2,False,2,1
433,is,Half Life,2,1,10,False,10,1
434,changin,Half Life,7,2,1,False,1,1
435,and,Half Life,3,1,19,False,19,2
436,upgradin,Half Life,8,3,1,False,1,1
437,faster,Half Life,6,2,9,False,9,1
438,than,Half Life,4,1,5,False,5,1
439,we,Half Life,2,1,3,True,3,1
440,can,Half Life,3,1,4,False,4,1
441,control,Half Life,7,2,1,False,1,1
442,sick,Half Life,4,1,1,False,1,1
443,of,Half Life,2,1,13,False,13,3
444,living,Half Life,6,2,1,False,1,1
445,in,Half Life,2,1,17,False,17,5
446,the,Half Life,3,1,31,False,31,7
447,old,Half Life,3,1,4,False,4,2
448,days,Half Life,4,1,1,False,1,1
449,mind,Half Life,4,1,7,False,7,1
450,burdened,Half Life,8,3,1,False,1,1
451,by,Half Life,2,0,2,False,2,1
452,the,Half Life,3,1,31,False,31,7
453,old,Half Life,3,1,4,False,4,2
454,ways,Half Life,4,1,1,False,1,1
455,keep,Half Life,4,2,2,False,2,1
456,trying,Half Life,6,1,2,False,2,1
457,to,Half Life,2,1,24,False,24,3
458,forget,Half Life,6,2,2,False,2,1
459,about,Half Life,5,3,3,False,3,2
460,it,Half Life,2,1,21,False,21,6
461,watch,Half Life,5,1,1,False,1,1
462,a,Half Life,1,1,21,False,21,5
463,video,Half Life,5,3,1,False,1,1
464,don't,Half Life,5,1,12,False,12,5
465,fret,Half Life,4,1,1,False,1,1
466,about,Half Life,5,3,3,False,3,2
467,it,Half Life,2,1,21,False,21,6
468,no,Half Life,2,1,8,False,8,2
469,you,Half Life,3,2,52,True,52,23
470,don't,Half Life,5,1,12,False,12,5
471,need,Half Life,4,2,3,False,3,2
472,it,Half Life,2,1,21,False,21,6
473,why,Half Life,3,0,3,False,3,1
474,you,Half Life,3,2,52,True,52,23
475,want,Half Life,4,1,3,False,3,3
476,it,Half Life,2,1,21,False,21,6
477,want,Half Life,4,1,3,False,3,3
478,it,Half Life,2,1,21,False,21,6
479,i,Half Life,1,1,67,True,67,22
480,don't,Half Life,5,1,12,False,12,5
481,see,Half Life,3,2,5,False,5,5
482,you,Half Life,3,2,52,True,52,23
483,moving,Half Life,6,2,7,False,7,3
484,on,Half Life,2,1,11,False,11,4
485,kid,Half Life,3,1,3,False,3,3
486,on,Half Life,2,1,11,False,11,4
487,kid,Half Life,3,1,3,False,3,3
488,i,Half Life,1,1,67,True,67,22
489,don't,Half Life,5,1,12,False,12,5
490,see,Half Life,3,2,5,False,5,5
491,you,Half Life,3,2,52,True,52,23
492,moving,Half Life,6,2,7,False,7,3
493,on,Half Life,2,1,11,False,11,4
494,kid,Half Life,3,1,3,False,3,3
495,no,Half Life,2,1,8,False,8,2
496,i,Half Life,1,1,67,True,67,22
497,don't,Half Life,5,1,12,False,12,5
498,see,Half Life,3,2,5,False,5,5
499,you,Half Life,3,2,52,True,52,23
500,moving,Half Life,6,2,7,False,7,3
501,on,Half Life,2,1,11,False,11,4
502,now,Half Life,3,1,10,False,10,1
503,i,Half Life,1,1,67,True,67,22
504,see,Half Life,3,2,5,False,5,5
505,i,Half Life,1,1,67,True,67,22
506,let,Half Life,3,1,3,False,3,2
507,these,Half Life,5,2,3,False,3,2
508,people,Half Life,6,3,2,False,2,2
509,dig,Half Life,3,1,1,False,1,1
510,their,Half Life,5,2,1,True,1,1
511,hooks,Half Life,5,2,1,False,1,1
512,in,Half Life,2,1,17,False,17,5
513,me,Half Life,2,1,21,True,21,7
514,and,Half Life,3,1,19,False,19,2
515,i,Half Life,1,1,67,True,67,22
516,consider,Half Life,8,3,1,False,1,1
517,myself,Half Life,6,1,2,True,2,1
518,a,Half Life,1,1,21,False,21,5
519,fool,Half Life,4,2,2,False,2,2
520,plugged,Half Life,7,2,2,False,2,2
521,in,Half Life,2,1,17,False,17,5
522,half,Half Life,4,1,2,False,2,2
523,life,Half Life,4,2,8,False,8,2
524,god,Half Life,3,1,7,False,7,2
525,you're,Half Life,6,3,1,True,1,1
526,a,Half Life,1,1,21,False,21,5
527,fool,Half Life,4,2,2,False,2,2
528,you,Half Life,3,2,52,True,52,23
